"config_id"	"report_type"	"external_report_type"	"grain"	"attributes"	"n_attributes"	"metrics"	"n_metrics"	"required_filters"	"filters_applied"	"unmet_required_filters"	"date_start"	"date_end"	"agency"	"status"	"error"	"sql_chars"	"total_bytes_processed"	"gb_processed"	"referenced_tables"	"statement_type"	"job_id"	"rows"	"total_bytes_billed"	"cache_hit"	"slot_ms"	"elapsed_ms"	"slot_ms_per_gb"	"avg_parallelism"	"stages"	"shuffle_output_bytes"	"records_read"	"records_written"	"slowest_stage"	"dryrun_gb_estimate"	"dryrun_overestimate_x"
"C01"	"INTERNAL_PERF_RR_DISPLAY"	"RR_DISPLAY_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"network,page_type,device,ad_unit,category_l1,category_l2,category_l3,hour,keyword"	"9"	"requests,responses,response_rate"	"3"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1057"	"1214248831"	"1.131"	"reporting.marketplace_clients;reporting.os_display_ads_filtered_level_performance_facts"	"SELECT"	"97c6ee35-4930-4498-a088-9df4590acc9e"	"6699148"	"1214251008"	"False"	"65009"	"10689.0"	"57486.5"	"6.1"	"6"	"3027168618"	"35247606"	"29210126"	"S02: Join+"	"9.839"	"8.7"
"C02"	"INTERNAL_PERF_MERCHANT_PERFORMANCE"	"MERCHANT_PERFORMANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"os_client_id,merchant_name,merchant_id,channel"	"4"	"spend,clicks,impressions,ctr,cpc,cpm,program_viewproducts,program_add2carts,program_orders,program_gmv,roas,site_viewproducts,site_add2carts,site_orders,site_revenue"	"15"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"3355"	"79238239"	"0.074"	"reporting.client_vendor_channel_performance_facts;reporting.static_currency_conversion;reporting.monetize_merchant_dimensions;reporting.clients;reporting.marketplace_clients;reporting.monetize_merchant_facts"	"SELECT"	"0e234ec0-bb05-4f55-8fb2-585cf3678c34"	"2688"	"79691776"	"False"	"1037"	"819.0"	"14052.2"	"1.3"	"2"	"1013844"	"1513043"	"5376"	"S00: Input"	"0.074"	"1.0"
"C03"	"INTERNAL_PERF_AUDIT_EVENTS"	"AUDIT_EVENTS_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"action_type_id,os_client_id,campaign_id,campaign_name,campaign_type,campaign_subtype,change_timestamp,change_time,old_status,new_status,old_budget,new_budget,currency,sku_id,action,changed_by,changed_by_type"	"17"	"placeholder_metric"	"1"	"action_type_id"	"[{""key"": ""action_type_id"", ""operator"": ""="", ""values"": [""17""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1357"	"2312200678"	"2.153"	"audit.audit_logs_v2"	"SELECT"	"1f729863-2551-41e3-be3b-23ff28b4ed06"	"1586"	"2313158656"	"False"	"8216"	"1890.0"	"3815.4"	"4.3"	"1"	"287917"	"2372422"	"1586"	"S00: Output"	"2.504"	"1.2"
"C04"	"INTERNAL_PERF_DISPLAY_AD_UNIT"	"DISPLAY_AD_UNIT_PERFORMANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"ad_unit_name,page_type,date"	"3"	"requests,responses,response_rate,impressions,clicks,spend,revenue,view_product,add_to_cart,conversions"	"10"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"2019"	"8259589"	"0.008"	"reporting.static_currency_conversion;reporting.marketplace_clients;reporting.os_display_ads_ad_unit_facts"	"SELECT"	"21e23fb7-d2cf-4f4c-b853-d1ce4ee7fb86"	"118"	"31457280"	"False"	"84"	"876.0"	"10920.0"	"0.1"	"1"	"15083"	"84551"	"118"	"S00: Output"	"0.008"	"1.0"
"C05"	"INTERNAL_PERF_KEYWORD_PERFORMANCE"	"INTERNAL_KEYWORD_PERFORMANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"keyword,keyword_match_type,campaign_id,campaign_name,campaign_group_id,effective_status,campaign_creation_date,campaign_type,campaign_subtype,os_client_id,seller_id"	"11"	"spend,impressions,clicks,attributed_sales"	"4"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"2198"	"262783891"	"0.245"	"reporting.campaign_tagging_data;reporting.marketing_campaign_dimensions;reporting.clients;reporting.static_currency_conversion;reporting.marketplace_clients;reporting.os_ads_keyword_performance_report;reporting.marketing_campaign_group_dimensions"	"SELECT"	"a54e0984-71e2-4631-927a-231d67abffed"	"27103"	"263192576"	"False"	"26960"	"4168.0"	"110159.3"	"6.5"	"11"	"424758030"	"34793154"	"6795757"	"S09: Join+"	"0.245"	"1.0"
"C06"	"INTERNAL_PERF_PAGE_PERFORMANCE_PLA"	"PAGE_PERFORMANCE_PLA_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"page_type,date"	"2"	"requests,responses,response_rate,impressions,clicks,spend"	"6"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1419"	"159316097"	"0.148"	"reporting.os_product_ads_page_name_performance_facts;reporting.marketplace_clients;reporting.static_currency_conversion"	"SELECT"	"e5dc93eb-c497-46c2-b15a-64f8db906591"	"15"	"159383552"	"False"	"347"	"383.0"	"2338.7"	"0.9"	"1"	"1008"	"786087"	"15"	"S00: Output"	"0.148"	"1.0"
"C07"	"INTERNAL_PERF_RR_PLA"	"RR_PLA_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"network,store_id,page_type,page_name,device,category_l1,category_l2,category_l3,category_l4,category_l5,category,day,hour"	"13"	"requests,responses,response_rate"	"3"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1294"	"85003438"	"0.079"	"reporting.os_product_ads_filtered_level_report;reporting.marketplace_clients"	"SELECT"	"8b952979-afb4-40b8-a466-8924175a04dd"	"326907"	"85983232"	"False"	"3090"	"3326.0"	"39032.1"	"0.9"	"5"	"177510786"	"1395763"	"980723"	"S04: Output"	"1.633"	"20.7"
"C08"	"INTERNAL_PERF_SEARCH_QUERY_REQUESTS_PLA"	"SEARCH_QUERY_REQUESTS_PLA_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"keyword"	"1"	"requests,responses,response_rate,days_with_requests"	"4"	""	""	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"1267"	"4677754277"	"4.356"	"reporting.marketplace_clients;reporting.os_product_ads_search_query_request_report"	"SELECT"	"3d3e7813-488a-4cec-a7e1-d233d29a675b"	"3350073"	"4678746112"	"False"	"96948"	"6873.0"	"22253.7"	"14.1"	"9"	"1821120746"	"57388151"	"36714266"	"S02: Join+"	"10.18"	"2.3"
"C09"	"INTERNAL_PERF_SKU_PERFORMANCE"	"SKU_PERFORMANCE_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"sku_id,os_client_id,merchant_id,merchant_name,product_name,brand,category,campaign_names"	"8"	"spend,impressions,clicks,ctr,cpc,program_viewproducts,program_add2carts,program_orders,program_gmv,site_viewproducts,site_add2carts,site_orders,site_gmv"	"13"	"os_client_id"	"[{""key"": ""os_client_id"", ""operator"": ""IN"", ""values"": [""277661""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"4862"	"1560804919"	"1.454"	"reporting.merchant_merchandise_product_dimensions;reporting.os_merchandise_product_performance_facts;reporting.campaign_tagging_data;reporting.agencies;reporting.marketing_campaign_group_dimensions;reporting.clients;reporting.marketing_campaign_dimensions;reporting.os_product_ads_device_keyword_product_report;reporting.os_product_ads_device_product_facts"	"SELECT"	"d660f2e2-2986-4343-b28f-bc2d739d974b"	"612"	"1561329664"	"False"	"67690"	"4043.0"	"46566.7"	"16.7"	"18"	"608487375"	"35205548"	"10910468"	"S0C: Join+"	"48.932"	"33.7"
"C10"	"INTERNAL_PERF_CAMPAIGN_KEYWORDS"	"CAMPAIGN_KEYWORDS_REPORT"	"EXTREME_ALL_ATTRIBUTES"	"keyword,is_negative,bidding_value,campaign_id,os_client_id"	"5"	"placeholder_metric"	"1"	"campaign_id"	"[{""key"": ""campaign_id"", ""operator"": ""IN"", ""values"": [""1322334""]}]"	""	"2026-07-19"	"2026-07-21"	"105"	"OK"	""	"594"	"363725852"	"0.339"	"reporting.os_ads_db_campaign_level_keywords;reporting.os_ads_db_campaign_level_keywords;reporting.os_ads_db_campaign_level_keywords;reporting.marketplace_clients"	"SELECT"	"287cf0ce-7842-4731-b8f8-a13d73fcbf04"	"0"	"363855872"	"False"	"44138"	"1509.0"	"130298.2"	"29.2"	"6"	"517361150"	"8072081"	"4006315"	"S00: Input"	"0.339"	"1.0"
